옵션 종류
샷 추가
디카페인
블론드
하프카페인
바닐라 시럽
헤이즐 시럽
카라멜 시럽
모카 시럽
프라푸치노
우유
저지방 우유
무지방 우유
두유
귀리 우유
휘핑
에스프레소 휘핑
자바칩
통 자바칩 토핑
초코 드리즐
카라멜 드리즐
뜨거운
따뜻한
핫
뜨겁게
따뜻하게
따듯한
따듯하게
차가운
아이스
얼음
차가운
얼음 많이
얼음 적게
얼음 조금
차갑게
시원한
시원하게
얼음 들어간
그란데
톨
숏
제일 큰 사이즈
제일 작은 사이즈
중간 사이즈
가장 작은
가장 작게
제일 작게
제일 작은
가장 큰
가장 크게
제일 큰
제일 크게
큰 사이즈
작은 사이즈
크게
작게
큰 거
작은 거
큰 것
작은 것
큰 걸로
작은 걸로
잔
개
하나
결제
계산
카페인 없게
카페인 없는 걸로
카페인 없이
카페인 반
디카페인 반
카페인 중간
하프디카페인
카페인 절반
바닐라
헤이즐
카라멜
모카
프라푸치노
에스프레소 샷
에스프레소
우유 없이
우유 없게
우유 없는 걸로
우유 빼고
두유
저지방 우유
휘핑 없이
휘핑 없게
휘핑 없는걸로
휘핑 빼고
휘핑크림 없이
휘핑크림 빼고
크림 빼고
크림 없이
크림 없는걸로
휘핑 많이
휘핑 크림 많이
휘핑 크림 가득
휘핑 가득
토핑 반반
자바칩 반 토핑 반
통 자바칩 토핑
초코 드리즐 많이
드리즐 없이
초코 드리즐
카라멜 드리즐
카라멜 드리즐 많이
카라멜 드리즐 없이
차가운
그런대로
드리 즐
